sign,count,initial_rate,terminal_rate,medial_rate
342,1190,0.0008,0.6798,0.3193
99,534,0.0037,0.0262,0.97
267,312,0.7949,0.0321,0.1731
87,312,0.4006,0.0609,0.5385
176,312,0.0032,0.875,0.1218
328,312,0.0577,0.8622,0.0801
59,302,0.1523,0.1159,0.7318
89,274,0.4635,0.0547,0.4818
67,234,0.2521,0.0043,0.7436
169,212,0.0189,0.533,0.4481
211,209,0.0,0.8182,0.1818
336,190,0.2737,0.0158,0.7105
162,187,0.0535,0.4599,0.4866
65,183,0.3825,0.0109,0.6066
245,176,0.125,0.2102,0.6648
391,172,0.6977,0.093,0.2093
72,159,0.2453,0.0,0.7547
123,159,0.0,0.0189,0.9811
48,147,0.4558,0.0068,0.5374
343,144,0.125,0.0208,0.8542
249,137,0.2409,0.0511,0.708
102,135,0.5111,0.0741,0.4148
86,125,0.504,0.072,0.424
389,119,0.5042,0.0,0.4958
15,117,0.0256,0.7436,0.2308
293,116,0.5345,0.0259,0.4397
171,107,0.3084,0.028,0.6636
1,105,0.1143,0.6857,0.2
53,102,0.2451,0.0,0.7549
347,93,0.0,0.0108,0.9892
51,86,0.2907,0.0349,0.6744
402,85,0.0706,0.3176,0.6118
8,85,0.0235,0.0,0.9765
387,82,0.3293,0.0,0.6707
403,81,0.2099,0.0247,0.7654
97,79,0.0,0.038,0.962
149,76,0.0658,0.2632,0.6711
287,75,0.2133,0.0267,0.76
124,71,0.2535,0.0,0.7465
17,71,0.4366,0.0282,0.5352
98,71,0.0563,0.1549,0.7887
216,71,0.4648,0.0704,0.4648
12,68,0.0147,0.8529,0.1324
254,67,0.0448,0.8507,0.1045
104,66,0.4242,0.0606,0.5152
204,66,0.697,0.0152,0.2879
244,65,0.2923,0.0,0.7077
307,63,0.2063,0.254,0.5397
95,60,0.9333,0.0,0.0667
121,56,0.1786,0.0179,0.8036
112,56,0.2679,0.0,0.7321
70,55,0.2545,0.0,0.7455
130,53,0.0,0.0943,0.9057
373,51,0.2941,0.2353,0.4706
194,48,0.0417,0.0417,0.9167
25,48,0.2083,0.1042,0.6875
341,47,0.2128,0.0638,0.7234
150,46,0.8043,0.0217,0.1739
197,46,0.3913,0.0435,0.5652
127,45,0.3111,0.2444,0.4444
230,45,0.0444,0.0889,0.8667
375,44,0.2955,0.1818,0.5227
155,43,0.1163,0.0,0.8837
28,42,0.3333,0.0952,0.5714
175,42,0.381,0.0476,0.5714
252,40,0.05,0.3,0.65
407,39,0.0,0.0256,0.9744
345,39,0.5385,0.0513,0.4103
294,39,0.0769,0.0,0.9231
182,39,0.3846,0.0769,0.5385
106,36,0.5278,0.0556,0.4167
180,35,0.0286,0.1714,0.8
326,34,0.3824,0.1765,0.4412
284,34,0.4412,0.3235,0.2353
296,33,0.1212,0.0,0.8788
173,33,0.6061,0.1515,0.2424
178,32,0.5625,0.0,0.4375
109,31,0.6452,0.0,0.3548
344,31,0.1935,0.1613,0.6452
327,31,0.2581,0.0323,0.7097
358,29,0.0,0.0,1.0
103,28,0.75,0.0714,0.1786
135,27,0.1111,0.037,0.8519
60,24,0.125,0.625,0.25
205,24,0.75,0.0,0.25
319,24,0.25,0.3333,0.4167
100,23,0.3478,0.0435,0.6087
186,23,0.3043,0.1304,0.5652
193,22,0.0909,0.0,0.9091
210,22,0.7727,0.0455,0.1818
233,21,0.1429,0.0476,0.8095
242,21,0.1429,0.8571,0.0
137,21,0.2381,0.2857,0.4762
18,21,0.3333,0.0,0.6667
153,20,0.3,0.05,0.65
409,20,0.6,0.05,0.35
348,20,0.1,0.05,0.85
177,20,0.75,0.15,0.1
190,20,0.05,0.55,0.4
261,19,0.4211,0.1053,0.4737
222,19,0.0526,0.0,0.9474
81,18,0.0,0.1667,0.8333
66,18,0.2222,0.5556,0.2222
54,17,0.4706,0.0588,0.4706
96,17,0.1765,0.3529,0.4706
253,17,0.4706,0.0588,0.4706
379,17,0.6471,0.0,0.3529
258,17,0.7059,0.0,0.2941
2,16,0.375,0.0,0.625
41,16,0.875,0.0,0.125
113,16,0.0,0.0625,0.9375
136,15,0.3333,0.0,0.6667
214,15,0.4667,0.3333,0.2
192,15,0.1333,0.0,0.8667
76,14,0.7143,0.0,0.2857
47,14,0.4286,0.0714,0.5
125,14,0.0,0.0714,0.9286
14,13,0.0,0.8462,0.1538
139,13,0.1538,0.9231,0.0
224,13,0.2308,0.7692,0.0
302,13,0.1538,0.1538,0.6923
40,13,0.6154,0.5385,0.0
134,13,0.1538,0.0,0.8462
321,13,0.0,0.8462,0.1538
119,13,1.0,0.0,0.0
400,12,0.3333,0.0833,0.5833
381,12,0.0,0.0833,0.9167
209,12,0.0,0.0,1.0
75,11,0.3636,0.0909,0.5455
325,11,0.3636,0.0,0.6364
397,11,0.7273,0.0909,0.1818
406,11,0.1818,0.0909,0.7273
250,11,0.3636,0.4545,0.1818
183,11,0.0909,0.0,0.9091
9,10,0.2,0.0,0.8
62,10,0.0,0.0,1.0
301,10,0.3,0.0,0.7
264,10,0.9,0.0,0.1
323,10,0.3,0.0,0.7
63,10,0.8,0.8,0.0
304,10,0.0,0.0,1.0
277,10,0.0,0.7,0.3
93,10,0.0,0.8,0.2
215,9,1.0,0.0,0.0
286,9,0.7778,0.0,0.2222
303,9,0.3333,0.2222,0.4444
386,9,0.5556,0.0,0.4444
367,8,0.0,0.375,0.625
219,8,0.625,0.25,0.125
68,8,0.0,0.75,0.25
94,8,0.25,0.125,0.625
292,8,0.75,0.0,0.25
128,8,0.0,0.0,1.0
73,8,0.625,0.5,0.0
202,8,0.5,0.125,0.375
388,8,0.0,0.375,0.625
226,8,0.25,0.0,0.75
201,8,0.75,0.0,0.25
295,8,0.875,0.0,0.125
172,8,0.125,0.0,0.875
19,7,0.0,0.1429,0.8571
50,7,0.5714,0.0,0.4286
374,7,0.0,1.0,0.0
247,7,0.1429,0.0,0.8571
329,7,0.2857,0.0,0.7143
78,7,0.0,0.0,1.0
330,7,0.7143,0.0,0.2857
415,7,0.5714,0.2857,0.1429
174,7,0.0,0.4286,0.5714
7,7,0.8571,0.4286,0.0
384,7,0.4286,0.2857,0.2857
398,7,0.5714,0.0,0.4286
84,7,0.5714,0.0,0.4286
142,7,1.0,0.0,0.0
223,6,0.3333,0.1667,0.5
206,6,0.0,0.3333,0.6667
114,6,0.5,0.0,0.5
110,6,0.3333,0.3333,0.3333
395,6,0.3333,0.1667,0.5
71,6,0.0,0.6667,0.3333
107,6,0.3333,0.5,0.1667
57,6,0.3333,0.1667,0.5
167,6,0.3333,0.1667,0.5
58,6,0.0,0.0,1.0
234,6,0.6667,0.0,0.3333
160,6,0.3333,0.0,0.6667
38,6,0.3333,0.3333,0.3333
3,6,0.3333,0.1667,0.5
32,6,0.1667,0.1667,0.6667
237,6,0.1667,0.0,0.8333
297,5,0.0,0.2,0.8
289,5,0.4,0.0,0.6
263,5,1.0,0.0,0.0
340,5,0.2,0.4,0.4
10,5,0.0,0.0,1.0
417,5,1.0,0.2,0.0
228,5,0.4,0.0,0.6
217,5,0.2,0.0,0.8
6,5,0.8,0.0,0.2
184,5,0.6,0.4,0.0
55,4,0.0,0.0,1.0
404,4,0.0,1.0,0.0
393,4,0.0,1.0,0.0
189,4,0.0,0.0,1.0
238,4,1.0,0.0,0.0
163,4,0.5,0.5,0.0
298,4,0.5,0.0,0.5
331,4,0.5,0.0,0.5
412,4,1.0,0.0,0.0
212,4,0.25,0.25,0.5
111,4,0.5,0.0,0.5
229,4,0.0,0.0,1.0
334,4,0.25,0.0,0.75
126,4,0.25,0.25,0.5
56,4,0.0,0.5,0.5
195,4,0.25,0.0,0.75
322,4,0.0,0.0,1.0
380,4,0.0,0.0,1.0
161,4,0.25,0.5,0.25
69,4,0.75,0.5,0.0
198,4,0.5,0.0,0.5
256,4,0.25,0.0,0.75
129,4,0.25,0.0,0.75
45,4,0.75,0.25,0.0
141,4,0.0,0.25,0.75
275,4,0.0,1.0,0.0
158,3,0.3333,0.3333,0.3333
311,3,1.0,0.0,0.0
108,3,0.6667,0.0,0.3333
371,3,0.3333,0.0,0.6667
282,3,0.0,1.0,0.0
83,3,0.3333,0.3333,0.3333
221,3,1.0,0.0,0.0
132,3,0.0,0.3333,0.6667
80,3,0.6667,0.0,0.3333
146,3,1.0,0.3333,0.0
305,3,1.0,0.0,0.0
225,3,0.3333,0.0,0.6667
268,3,0.0,0.0,1.0
272,3,0.3333,0.6667,0.0
290,3,0.6667,0.0,0.3333
22,3,0.3333,0.0,0.6667
35,3,0.6667,0.0,0.3333
363,3,1.0,1.0,0.0
138,3,0.6667,0.3333,0.0
188,3,0.3333,0.0,0.6667
337,3,1.0,0.0,0.0
365,3,0.6667,0.0,0.3333
34,2,1.0,0.0,0.0
27,2,1.0,0.0,0.0
181,2,0.5,0.0,0.5
257,2,0.0,0.0,1.0
31,2,1.0,1.0,0.0
5,2,0.0,1.0,0.0
4,2,0.5,0.5,0.0
49,2,0.0,0.0,1.0
120,2,1.0,0.0,0.0
159,2,0.5,0.0,0.5
187,2,0.0,0.0,1.0
140,2,0.0,0.5,0.5
394,2,0.5,0.0,0.5
74,2,0.0,0.0,1.0
309,2,0.0,0.0,1.0
259,2,0.0,0.0,1.0
240,2,0.5,0.0,0.5
29,2,0.5,0.5,0.0
333,2,0.5,0.0,0.5
213,2,0.5,0.5,0.0
36,2,0.0,0.0,1.0
90,2,1.0,0.0,0.0
203,2,1.0,0.0,0.0
390,2,0.0,0.5,0.5
11,2,0.5,0.0,0.5
332,2,0.0,0.0,1.0
30,2,0.5,0.5,0.0
105,2,0.0,0.0,1.0
64,2,0.0,0.0,1.0
91,2,0.0,1.0,0.0
362,2,1.0,1.0,0.0
312,2,0.5,0.5,0.0
359,2,0.0,0.0,1.0
283,2,0.5,0.5,0.0
346,2,1.0,1.0,0.0
364,2,1.0,0.5,0.0
335,2,1.0,0.0,0.0
77,2,0.5,0.0,0.5
416,2,1.0,0.0,0.0
44,2,1.0,1.0,0.0
368,2,0.0,0.0,1.0
280,2,0.5,0.5,0.0
276,2,0.5,0.5,0.0
24,2,0.0,0.5,0.5
313,2,1.0,0.5,0.0
324,2,0.0,0.0,1.0
21,2,0.0,0.0,1.0
396,1,0.0,0.0,1.0
82,1,0.0,0.0,1.0
266,1,0.0,1.0,0.0
133,1,1.0,0.0,0.0
349,1,0.0,0.0,1.0
164,1,1.0,0.0,0.0
79,1,1.0,0.0,0.0
265,1,1.0,0.0,0.0
154,1,0.0,0.0,1.0
316,1,0.0,1.0,0.0
207,1,0.0,1.0,0.0
355,1,1.0,0.0,0.0
39,1,0.0,0.0,1.0
37,1,1.0,0.0,0.0
61,1,0.0,0.0,1.0
165,1,1.0,1.0,0.0
179,1,0.0,0.0,1.0
360,1,0.0,0.0,1.0
156,1,0.0,0.0,1.0
318,1,0.0,1.0,0.0
101,1,1.0,0.0,0.0
88,1,1.0,1.0,0.0
288,1,0.0,0.0,1.0
144,1,0.0,1.0,0.0
377,1,1.0,1.0,0.0
143,1,1.0,0.0,0.0
147,1,1.0,0.0,0.0
208,1,1.0,0.0,0.0
23,1,1.0,0.0,0.0
338,1,0.0,0.0,1.0
255,1,1.0,0.0,0.0
372,1,1.0,0.0,0.0
392,1,1.0,1.0,0.0
235,1,0.0,1.0,0.0
306,1,1.0,0.0,0.0
26,1,1.0,0.0,0.0
271,1,1.0,0.0,0.0
152,1,1.0,0.0,0.0
20,1,1.0,0.0,0.0
310,1,0.0,0.0,1.0
279,1,0.0,0.0,1.0
231,1,0.0,1.0,0.0
408,1,1.0,1.0,0.0
350,1,1.0,0.0,0.0
285,1,1.0,0.0,0.0
191,1,1.0,0.0,0.0
357,1,0.0,0.0,1.0
13,1,0.0,1.0,0.0
52,1,0.0,1.0,0.0
16,1,1.0,0.0,0.0
200,1,1.0,0.0,0.0
151,1,1.0,0.0,0.0
399,1,1.0,0.0,0.0
196,1,1.0,0.0,0.0
291,1,1.0,0.0,0.0
260,1,0.0,0.0,1.0
352,1,0.0,0.0,1.0
383,1,1.0,0.0,0.0
405,1,1.0,1.0,0.0
315,1,0.0,1.0,0.0
145,1,0.0,0.0,1.0
218,1,1.0,0.0,0.0
199,1,1.0,0.0,0.0
366,1,1.0,0.0,0.0
300,1,1.0,0.0,0.0
273,1,0.0,0.0,1.0
116,1,1.0,0.0,0.0
122,1,1.0,0.0,0.0
85,1,1.0,1.0,0.0
170,1,1.0,0.0,0.0
382,1,0.0,0.0,1.0
281,1,1.0,0.0,0.0
385,1,0.0,0.0,1.0
413,1,0.0,1.0,0.0
241,1,1.0,0.0,0.0
42,1,1.0,0.0,0.0
46,1,0.0,1.0,0.0
148,1,0.0,0.0,1.0
33,1,0.0,0.0,1.0
410,1,0.0,1.0,0.0
117,1,1.0,0.0,0.0
118,1,1.0,1.0,0.0
115,1,1.0,1.0,0.0
270,1,1.0,0.0,0.0
369,1,0.0,0.0,1.0
401,1,0.0,1.0,0.0
351,1,1.0,0.0,0.0
314,1,0.0,0.0,1.0
248,1,1.0,0.0,0.0
246,1,1.0,0.0,0.0
320,1,1.0,0.0,0.0
168,1,0.0,1.0,0.0
361,1,1.0,0.0,0.0
274,1,0.0,1.0,0.0
278,1,0.0,1.0,0.0
356,1,0.0,0.0,1.0
370,1,0.0,0.0,1.0
308,1,0.0,0.0,1.0
269,1,1.0,1.0,0.0
166,1,0.0,1.0,0.0
414,1,0.0,0.0,1.0
43,1,1.0,0.0,0.0
185,1,0.0,0.0,1.0
