sign_a,sign_b,pmi_score,co_occurrence_count
65,121,1.158079,7
72,327,1.153934,4
342,348,1.149796,19
89,211,1.146337,45
153,267,1.144888,3
205,267,1.144888,6
70,123,1.143227,7
99,233,1.140629,9
19,99,1.140629,3
28,99,1.140629,18
99,242,1.140629,9
99,174,1.140629,3
99,398,1.140629,3
99,329,1.140629,3
72,194,1.138504,6
12,70,1.137153,3
258,342,1.136333,16
197,336,1.13495,7
113,342,1.130687,15
171,387,1.129349,7
70,391,1.12508,7
15,51,1.124383,8
65,389,1.122411,17
98,391,1.119263,9
8,342,1.118186,79
60,123,1.117232,3
87,253,1.114381,4
135,342,1.112765,25
14,59,1.110779,3
59,139,1.110779,3
347,387,1.109265,6
119,342,1.108319,12
336,341,1.103923,7
197,293,1.103035,4
307,402,1.097958,4
86,327,1.097583,3
341,387,1.093835,3
194,387,1.093835,3
230,343,1.091217,5
15,326,1.091217,3
51,150,1.087858,3
97,216,1.082276,4
28,347,1.074499,3
9,342,1.071793,9
48,342,1.068518,132
267,347,1.065161,22
86,97,1.064718,7
176,307,1.064011,14
72,336,1.061836,23
98,293,1.061812,6
17,97,1.061812,4
103,342,1.060297,25
67,150,1.058795,8
171,391,1.058057,13
171,294,1.055055,3
1,98,1.054035,5
342,386,1.053871,8
123,254,1.051143,8
15,284,1.048148,3
53,182,1.048148,3
1,343,1.043911,10
99,192,1.041093,6
54,99,1.041093,6
93,99,1.041093,4
180,245,1.031202,3
292,342,1.031151,7
28,391,1.028695,5
25,402,1.028695,3
99,173,1.019067,13
98,245,1.010738,6
99,387,1.005469,32
53,254,1.004426,5
293,294,1.002106,3
78,342,1.001404,6
330,342,1.001404,6
87,100,1.00021,5
169,293,0.99724,16
67,194,0.996059,8
194,389,0.996059,4
15,98,0.985864,6
98,389,0.985864,6
99,134,0.98451,5
28,169,0.984301,6
139,342,0.982788,11
171,407,0.979106,3
171,252,0.979106,3
72,375,0.978847,4
59,261,0.978328,4
60,162,0.978069,3
230,347,0.974963,3
98,123,0.967485,8
245,307,0.966714,5
15,106,0.965686,3
175,176,0.965001,9
204,342,0.960762,55
59,293,0.955402,23
1,249,0.953747,9
65,327,0.951117,4
8,67,0.948612,14
70,267,0.948491,12
99,201,0.947984,3
99,202,0.947984,3
68,99,0.947984,3
1,197,0.943255,3
53,373,0.941233,3
53,112,0.941233,4
59,127,0.936749,9
193,342,0.93429,18
99,375,0.934178,13
28,249,0.930663,4
176,205,0.924359,5
99,261,0.922449,7
130,176,0.918904,11
98,343,0.918749,7
87,252,0.916442,8
59,87,0.913978,60
17,387,0.913714,4
1,342,0.913456,75
175,211,0.913218,6
211,375,0.913218,5
100,336,0.912558,3
97,169,0.904131,10
343,387,0.90359,8
99,397,0.90359,4
15,176,0.901991,24
228,342,0.901868,4
263,342,0.901868,4
155,249,0.896716,4
99,121,0.895895,17
70,89,0.895492,10
99,211,0.8914,75
294,391,0.889631,4
67,149,0.887683,12
59,149,0.885219,15
67,72,0.881621,25
194,336,0.881531,6
70,87,0.879916,11
54,87,0.879916,3
87,192,0.879916,3
53,336,0.879172,13
53,67,0.878223,16
99,175,0.877594,15
72,121,0.875469,5
99,230,0.871168,16
59,387,0.868704,16
121,391,0.866424,5
149,169,0.865657,10
173,249,0.863549,3
342,403,0.861226,63
51,123,0.860892,9
169,171,0.857544,14
59,327,0.857022,6
17,244,0.856228,3
87,112,0.853921,11
86,211,0.85384,17
100,169,0.853057,3
244,336,0.851157,8
99,162,0.850815,61
67,99,0.850208,82
53,150,0.841697,3
59,194,0.841592,9
112,387,0.841068,3
204,347,0.83746,4
28,65,0.834924,5
123,345,0.83183,4
72,407,0.822728,4
294,342,0.821698,28
70,169,0.817651,7
67,409,0.813683,3
28,87,0.809527,8
342,404,0.808759,3
298,342,0.808759,3
94,342,0.808759,6
342,412,0.808759,3
128,342,0.808759,6
229,342,0.808759,3
41,342,0.808759,12
334,342,0.808759,3
195,342,0.808759,3
256,342,0.808759,3
99,194,0.808432,16
326,336,0.806763,4
89,387,0.804727,14
296,343,0.80171,3
53,342,0.799298,76
8,112,0.789229,3
342,373,0.785675,31
28,336,0.780768,5
180,249,0.77866,3
67,387,0.778059,12
99,214,0.778059,5
136,342,0.776337,11
112,343,0.775715,5
17,123,0.77484,7
1,59,0.77456,17
59,249,0.77208,25
81,89,0.769961,3
216,245,0.768168,5
194,267,0.760225,9
12,343,0.758641,6
242,267,0.752571,4
59,389,0.748209,21
17,245,0.747704,5
169,296,0.747262,4
67,242,0.743293,3
67,233,0.743293,3
247,342,0.738369,5
249,402,0.738018,7
104,149,0.73568,3
1,86,0.735013,7
53,99,0.73499,33
99,347,0.730753,30
65,211,0.728435,23
123,402,0.724915,8
112,211,0.720573,7
124,342,0.717905,50
65,387,0.717686,9
307,387,0.717686,3
180,343,0.716821,3
53,387,0.712964,5
249,342,0.710727,96
121,171,0.70992,3
17,98,0.706481,3
72,97,0.706031,7
130,342,0.705329,37
86,336,0.704316,14
103,176,0.701966,5
17,343,0.696357,6
99,254,0.689249,21
65,123,0.688995,17
65,347,0.688082,10
51,169,0.68732,10
230,342,0.686139,31
70,347,0.685457,3
244,342,0.683228,44
72,155,0.681865,4
1,99,0.681843,29
106,343,0.676179,3
65,342,0.673881,125
59,341,0.671667,8
254,267,0.663762,12
67,294,0.663123,5
97,389,0.663123,5
99,139,0.662581,4
99,224,0.662581,4
40,99,0.662581,4
86,402,0.659462,6
28,86,0.659462,3
86,175,0.659462,3
123,296,0.6578,3
123,127,0.6578,4
162,391,0.656141,16
162,267,0.656141,31
8,99,0.65407,26
72,296,0.648698,3
176,244,0.646825,11
65,89,0.646579,28
150,389,0.643758,3
296,391,0.639653,3
67,123,0.639185,21
86,98,0.638998,5
86,124,0.638998,5
223,342,0.638834,4
12,67,0.63311,9
67,130,0.630083,7
99,301,0.626056,3
112,342,0.625895,37
86,123,0.622467,11
65,345,0.619911,4
149,342,0.619725,50
53,216,0.619304,4
169,211,0.614778,23
211,267,0.614374,36
169,336,0.614118,21
72,123,0.611704,14
17,149,0.608301,3
98,149,0.608301,3
89,341,0.60769,7
59,155,0.607346,7
66,176,0.602431,3
342,389,0.601359,76
53,391,0.596584,9
51,336,0.594817,9
67,342,0.591836,151
180,211,0.59129,4
293,387,0.590973,5
59,112,0.588826,9
99,104,0.588581,19
72,267,0.586893,27
123,211,0.586717,18
162,175,0.585752,4
99,205,0.585414,7
244,343,0.58307,5
182,342,0.58225,25
67,121,0.581022,6
341,389,0.581022,3
51,244,0.579711,3
51,342,0.578891,55
67,70,0.576643,7
194,342,0.576098,30
325,342,0.571719,7
51,176,0.568483,14
72,169,0.566236,17
72,89,0.565603,23
87,343,0.565535,23
176,294,0.562902,6
293,402,0.556208,5
47,99,0.555666,4
99,125,0.555666,4
176,347,0.555125,15
216,391,0.554764,6
287,342,0.553945,44
150,211,0.550648,5
89,233,0.547569,3
28,89,0.547569,6
89,375,0.547569,5
202,342,0.545724,5
201,342,0.545724,5
341,391,0.544496,4
72,99,0.541991,45
67,249,0.540079,17
8,293,0.539134,5
53,97,0.539134,4
99,244,0.532946,18
17,171,0.529799,4
59,99,0.525816,82
67,267,0.522451,38
327,342,0.517527,19
293,342,0.516843,68
175,249,0.515626,3
81,99,0.515024,5
112,267,0.507459,9
67,169,0.506254,24
67,296,0.506254,4
343,403,0.506254,6
67,204,0.506254,8
59,296,0.50379,5
102,155,0.502895,3
326,342,0.50133,20
102,123,0.499848,11
98,249,0.495162,5
65,244,0.490276,6
99,325,0.488552,3
99,406,0.488552,3
150,342,0.486831,27
192,342,0.486831,9
264,342,0.486831,6
93,342,0.486831,6
216,402,0.484375,3
72,294,0.483639,3
99,403,0.482603,22
171,342,0.482329,64
328,345,0.482168,6
123,162,0.481644,14
28,67,0.480259,5
87,296,0.479378,5
87,326,0.479378,5
123,249,0.478632,11
121,342,0.476562,28
59,102,0.471368,20
59,135,0.471368,4
67,347,0.470921,11
176,342,0.46591,178
87,177,0.464879,3
17,402,0.463911,3
124,402,0.463911,3
99,112,0.462557,15
17,99,0.461202,19
230,267,0.46039,7
112,171,0.457153,3
97,102,0.456672,5
176,409,0.450428,3
51,67,0.446311,10
67,155,0.446311,5
342,400,0.446189,7
153,342,0.446189,7
65,70,0.445881,5
65,296,0.445881,3
104,267,0.444449,10
53,169,0.441159,10
336,389,0.440224,11
123,244,0.43916,5
65,267,0.436544,28
130,245,0.432565,3
99,307,0.432284,16
70,293,0.4302,3
17,51,0.429963,3
51,124,0.429963,3
267,296,0.422422,5
204,267,0.422422,10
173,267,0.422422,5
169,327,0.422422,3
342,387,0.420833,47
59,242,0.418901,3
104,123,0.416792,5
50,342,0.416441,4
233,342,0.416441,12
342,415,0.416441,4
99,135,0.415489,7
65,150,0.41346,4
17,162,0.413285,6
25,176,0.409786,7
99,336,0.407875,49
112,293,0.404205,3
65,284,0.402813,3
211,391,0.398645,16
59,98,0.398437,10
53,343,0.396071,7
87,175,0.394489,6
87,137,0.394489,3
17,48,0.393521,5
67,343,0.390777,16
267,403,0.390001,12
59,343,0.388313,20
8,97,0.387131,3
72,342,0.386647,89
89,194,0.385297,6
197,249,0.384381,3
99,124,0.383199,18
67,389,0.380723,13
123,342,0.379447,88
53,267,0.379354,15
215,342,0.375799,5
286,342,0.375799,5
303,342,0.375799,5
123,171,0.375765,8
65,99,0.370883,46
254,336,0.370031,6
211,343,0.368057,14
48,72,0.367889,11
59,391,0.36376,22
86,99,0.363021,31
60,99,0.363021,6
65,375,0.360993,3
98,342,0.359451,39
102,293,0.357136,7
149,267,0.356393,11
175,342,0.355041,23
102,343,0.354251,9
162,293,0.353578,9
59,169,0.351787,27
70,342,0.349327,30
123,387,0.344643,6
342,375,0.342441,19
59,294,0.338731,5
249,336,0.338088,12
86,287,0.337534,4
175,267,0.337534,6
1,287,0.337534,3
336,391,0.336584,14
67,112,0.328256,6
171,343,0.327029,7
70,72,0.32677,4
387,391,0.326495,6
59,344,0.319365,4
99,296,0.318627,8
97,211,0.318475,7
124,267,0.317069,10
17,86,0.317069,4
1,17,0.317069,3
1,124,0.317069,3
342,344,0.316906,16
99,342,0.315552,284
342,343,0.311852,76
89,173,0.31053,4
112,123,0.309877,4
123,175,0.309877,3
86,343,0.306945,8
336,375,0.306837,3
253,342,0.306258,9
1,267,0.306169,13
102,245,0.306062,7
267,342,0.305224,164
51,267,0.303586,12
28,72,0.300775,3
72,373,0.300775,3
162,244,0.299997,5
150,169,0.299803,4
102,169,0.299803,12
87,99,0.2936,71
391,402,0.29173,6
112,391,0.29173,4
287,391,0.29173,5
124,336,0.286373,6
65,293,0.280822,9
96,99,0.275558,4
87,391,0.272234,21
1,48,0.267144,6
59,216,0.266898,9
173,342,0.266865,17
99,171,0.26541,25
87,186,0.263245,3
155,391,0.257783,3
86,293,0.257363,6
97,347,0.257363,3
99,169,0.257226,46
8,403,0.256734,3
53,123,0.252162,7
267,387,0.246768,11
102,249,0.246165,8
12,53,0.246087,3
197,328,0.244009,6
59,65,0.234118,23
109,176,0.233197,4
53,65,0.232888,8
87,341,0.232218,6
67,391,0.22872,16
211,230,0.22872,4
67,344,0.22872,3
59,342,0.228712,147
17,169,0.226872,6
98,169,0.226872,6
293,336,0.226666,9
294,336,0.226666,3
99,127,0.225518,10
127,391,0.224616,3
206,342,0.223796,3
342,409,0.223796,10
47,342,0.223796,7
110,342,0.223796,3
57,342,0.223796,3
301,342,0.223796,5
209,342,0.223796,6
51,387,0.222159,3
99,327,0.21618,7
102,216,0.214914,4
328,341,0.212982,6
67,403,0.210798,8
186,267,0.206289,3
89,98,0.205177,8
53,287,0.204267,3
8,402,0.204267,3
87,244,0.201844,8
25,87,0.201844,6
72,150,0.201239,3
171,254,0.198419,3
8,267,0.194929,11
249,287,0.193698,4
99,102,0.193096,30
343,402,0.190752,5
176,178,0.187393,4
60,176,0.187393,3
17,53,0.183803,3
12,99,0.182449,15
65,130,0.177393,4
267,341,0.175262,6
17,249,0.173234,4
162,287,0.170714,5
162,373,0.170714,3
59,123,0.170403,19
1,123,0.163036,6
87,97,0.162316,9
99,197,0.161387,10
197,391,0.160485,3
267,336,0.159995,24
197,342,0.159666,22
245,342,0.159666,55
48,389,0.158331,7
242,342,0.153407,10
137,342,0.153407,10
336,343,0.150718,11
51,245,0.149258,4
59,347,0.146529,11
25,267,0.144888,6
1,391,0.144888,6
86,391,0.144888,8
173,176,0.142999,4
99,287,0.140629,15
99,402,0.140629,18
72,341,0.138504,3
155,162,0.136767,3
171,216,0.135225,3
48,53,0.133878,6
287,343,0.131859,4
99,341,0.13036,10
194,391,0.129458,3
341,342,0.128639,22
1,102,0.126967,5
99,326,0.125982,7
176,389,0.124383,14
72,293,0.121069,7
86,307,0.121042,3
336,347,0.119353,7
72,343,0.118184,9
59,336,0.115832,22
97,249,0.113527,4
15,104,0.113243,3
28,328,0.112219,5
342,391,0.111321,74
171,336,0.10969,8
343,391,0.109138,9
224,342,0.108319,6
72,244,0.10813,4
72,391,0.10813,10
53,176,0.09993,12
65,175,0.097958,3
65,216,0.097958,5
65,287,0.097958,5
204,389,0.091217,3
67,127,0.091217,4
15,204,0.091217,3
293,347,0.087438,4
127,342,0.086293,20
104,391,0.076717,4
162,230,0.071179,3
67,254,0.069521,6
65,343,0.06737,10
87,127,0.064341,5
8,86,0.057426,4
81,342,0.053871,8
87,98,0.052097,8
53,211,0.048148,8
89,169,0.047495,20
65,162,0.047332,12
216,336,0.043802,5
336,373,0.043802,3
284,342,0.043224,15
99,409,0.041093,4
51,347,0.040552,3
72,402,0.037741,5
17,176,0.037646,8
1,245,0.036364,4
389,391,0.036075,7
65,127,0.030844,3
59,70,0.029859,6
17,342,0.028245,31
67,197,0.027086,4
48,70,0.024943,3
51,99,0.024219,17
100,342,0.022162,10
186,342,0.022162,10
98,99,0.020629,14
211,389,0.020133,9
182,211,0.020133,3
65,97,0.017788,5
176,403,0.017468,9
87,387,0.014217,9
48,97,0.011887,4
12,391,0.011622,4
86,204,0.007385,3
127,267,0.007385,5
67,375,0.006328,3
15,287,0.006328,3
53,89,0.004426,10
125,342,0.001404,6
329,342,0.001404,3
174,342,0.001404,3
342,398,0.001404,3
99,106,0.000451,7
